Trajectories
100
,,Edgar Vergara:LASI,,,Edgar Vergara:RASI,,,Edgar Vergara:LPSI,,,Edgar Vergara:RPSI,,,Edgar Vergara:Placa PI1,,,Edgar Vergara:Placa PI2,,,Edgar Vergara:Placa PI3,,,Edgar Vergara:Placa PI4,,,Edgar Vergara:Placa PD1,,,Edgar Vergara:Placa PD2,,,Edgar Vergara:Placa PD3,,,Edgar Vergara:Placa PD4,,,Edgar Vergara:Placa MI1,,,Edgar Vergara:Placa MI2,,,Edgar Vergara:Placa MI3,,,Edgar Vergara:Placa MI4,,,Edgar Vergara:Placa MD1,,,Edgar Vergara:Placa MD2,,,Edgar Vergara:Placa MD3,,,Edgar Vergara:Placa MD4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,-47.2994,251.166,921.437,176.455,278.362,921.165,39.9777,87.6482,952.971,122.678,96.0978,949.356,,,,,,,,,,,,,,,,,,,,,,,,,-84.9961,175.701,912.63,-104.665,176.29,635.641,-86.7182,146.44,483.29,-107.734,103.157,325.849,227.641,218.456,932.447,247.169,226.279,626.525,232.692,188.007,489.556,255.89,155.783,338.451
2,0,-47.3549,251.1,921.402,176.349,278.271,921.168,39.9322,87.585,952.98,122.672,96.0753,949.365,,,,,,,,,,,,,,,,,,,,,,,,,-85.0707,175.675,912.629,-104.797,176.285,635.556,-86.7264,146.472,483.22,-107.803,103.094,325.809,227.608,218.408,932.449,247.162,226.246,626.523,232.632,187.955,489.532,255.965,155.715,338.498
3,0,-47.3575,251.093,921.4,176.333,278.217,921.134,39.832,87.5061,953.02,122.56,96.0623,949.353,,,,,,,,,,,,,,,,,,,,,,,,,-85.1448,175.691,912.583,-104.794,176.291,635.558,-86.7942,146.434,483.236,-107.8,103.124,325.868,227.53,218.353,932.497,247.095,226.194,626.503,232.572,187.907,489.502,255.908,155.669,338.478
4,0,-47.4248,251.152,921.41,176.302,278.168,921.127,39.7794,87.5278,952.958,122.427,96.0574,949.295,,,,,,,,,,,,,,,,,,,,,,,,,-85.1526,175.675,912.687,-104.789,176.335,635.614,-86.7933,146.436,483.236,-107.871,103.197,325.818,227.519,218.31,932.509,247.086,226.165,626.499,232.618,187.393,488.905,255.904,155.675,338.477
5,0,-47.4827,251.124,921.368,176.261,278.064,921.139,39.7262,87.4653,952.998,122.389,95.9831,949.388,,,,,,,,,,,,,,,,,,,,,,,,,-85.2682,175.744,912.603,-104.852,176.377,635.635,-86.7908,146.433,483.239,-107.912,103.153,325.726,227.503,218.261,932.552,247.031,226.107,626.471,232.507,187.86,489.473,255.823,155.702,338.473
6,0,-47.5183,251.158,921.37,176.226,278.022,921.153,39.6233,87.4512,952.968,122.253,95.9713,949.334,,,,,,,,,,,,,,,,,,,,,,,,,-85.306,175.783,912.635,-104.864,176.359,635.57,-86.8914,146.415,483.162,-108.031,103.116,325.698,227.452,218.176,932.562,247.02,226.074,626.471,232.444,187.887,489.442,255.844,155.685,338.521
7,0,-47.5672,251.186,921.375,176.189,277.948,921.165,39.3777,87.3872,952.788,122.151,95.9826,949.305,,,,,,,,,,,,,,,,,,,,,,,,,-85.4282,175.799,912.655,-104.863,176.357,635.575,-86.8584,146.354,483.201,-108.138,103.144,325.683,227.449,218.13,932.614,247.07,226.019,626.476,232.428,187.874,489.506,255.761,155.713,338.541
8,0,-47.6343,251.225,921.388,176.172,277.911,921.205,39.2728,87.3825,952.783,122.021,95.971,949.346,,,,,,,,,,,,,,,,,,,,,,,,,-85.4507,175.82,912.579,-105.001,176.392,635.539,-86.8501,146.352,483.21,-108.183,103.136,325.643,227.4,218.054,932.691,247.035,225.966,626.459,232.482,187.445,489.098,255.684,155.681,338.546
9,0,-47.6942,251.183,921.297,176.083,277.859,921.19,39.2337,87.4119,952.776,121.904,95.9585,949.341,,,,,,,,,,,,,,,,,,,,,,,,,-85.4825,175.852,912.637,-105.012,176.393,635.526,-86.9376,146.332,483.146,-108.323,103.145,325.676,227.334,218.012,932.705,247.002,225.936,626.511,232.427,187.472,489.091,255.646,155.693,338.56
10,0,-47.7604,251.243,921.298,176.104,277.802,921.228,39.1468,87.4281,952.789,121.761,95.9445,949.3,,,,,,,,,,,,,,,,,,,,,,,,,-85.7816,175.914,912.565,-105.018,176.401,635.522,-86.9329,146.339,483.15,-108.335,103.14,325.532,227.271,217.95,932.761,246.926,225.971,626.556,232.46,187.498,489.152,255.636,155.698,338.584
11,0,-47.8388,251.291,921.31,176.009,277.777,921.277,39.1109,87.3829,952.883,121.668,95.9548,949.34,,,,,,,,,,,,,,,,,,,,,,,,,-85.6954,175.904,912.543,-105.09,176.463,635.477,-86.9296,146.308,483.098,-108.457,103.123,325.436,227.17,217.939,932.889,246.919,225.97,626.539,232.397,187.502,489.257,255.622,155.703,338.594
12,0,-47.9313,251.296,921.286,175.985,277.71,921.308,39.0445,87.3933,952.892,121.555,95.9323,949.317,,,,,,,,,,,,,,,,,,,,,,,,,-85.7592,175.969,912.547,-105.219,176.457,635.449,-86.9922,146.279,483.117,-108.51,103.175,325.467,227.106,217.863,932.902,246.847,225.954,626.557,232.384,187.495,489.229,255.572,155.692,338.654
13,0,-47.9559,251.389,921.292,175.943,277.658,921.303,38.996,87.3698,952.992,121.406,95.911,949.413,,,,,,,,,,,,,,,,,,,,,,,,,-85.6551,176.028,912.662,-105.155,176.543,635.492,-86.9715,146.364,483.135,-108.908,103.215,325.231,227.059,217.822,932.901,246.839,225.939,626.56,232.404,187.561,489.256,255.497,155.693,338.628
14,0,-48.0351,251.466,921.258,175.938,277.648,921.282,38.838,87.47,952.951,121.291,95.902,949.419,,,,,,,,,,,,,,,,,,,,,,,,,-85.7597,176.056,912.697,-105.216,176.523,635.5,-87.0556,146.332,483.135,-108.638,103.237,325.369,227.03,217.76,932.968,246.836,225.932,626.533,232.345,187.578,489.266,255.525,155.665,338.644
15,0,-48.0226,251.483,921.263,175.92,277.592,921.31,38.6751,87.5259,953.016,121.149,95.8918,949.419,,,,,,,,,,,,,,,,,,,,,,,,,-85.8264,176.117,912.7,-105.267,176.599,635.522,-87.0528,146.341,483.137,-108.9,103.223,325.235,227.028,217.718,932.984,246.819,225.901,626.581,232.368,187.515,489.213,255.425,155.732,338.649
16,0,-48.0875,251.562,921.271,175.87,277.57,921.285,38.5283,87.5594,952.879,121.038,95.9382,949.441,,,,,,,,,,,,,,,,,,,,,,,,,-85.9868,176.242,912.638,-105.282,176.715,635.452,-87.205,146.37,483.019,-108.98,103.288,325.181,226.948,217.657,932.917,246.754,225.843,626.59,232.337,187.493,489.175,255.425,155.727,338.66
17,0,-48.165,251.613,921.208,175.872,277.57,921.281,38.3735,87.5466,952.898,120.941,95.9346,949.505,,,,,,,,,,,,,,,,,,,,,,,,,-86.0802,176.353,912.653,-105.348,176.698,635.452,-87.0994,146.383,483.17,-108.948,103.239,325.337,226.965,217.638,932.958,246.715,225.785,626.627,232.335,187.418,489.21,255.485,155.69,338.655
18,0,-48.1369,251.709,921.187,175.901,277.554,921.243,38.18,87.6186,952.904,120.846,95.9698,949.533,,,,,,,,,,,,,,,,,,,,,,,,,-86.1255,176.459,912.665,-105.377,176.854,635.406,-87.262,146.402,483.042,-108.662,103.298,325.588,226.904,217.591,932.944,246.645,225.692,626.599,232.376,187.368,489.188,255.514,155.68,338.685
19,0,-48.2425,251.839,921.138,175.923,277.556,921.224,37.9761,87.7731,952.838,120.762,95.924,949.527,,,,,,,,,,,,,,,,,,,,,,,,,-86.2916,176.617,912.577,-105.448,176.891,635.354,-87.3764,146.4,482.955,-109.058,103.29,325.289,226.852,217.573,932.987,246.681,225.622,626.618,232.273,187.377,489.197,255.517,155.665,338.628
20,0,-48.2301,251.923,921.136,175.824,277.526,921.233,37.8477,87.7838,952.831,120.666,95.9606,949.574,,,,,,,,,,,,,,,,,,,,,,,,,-86.3717,176.785,912.496,-105.451,176.962,635.339,-87.4056,146.44,483.003,-108.861,103.226,325.435,226.816,217.559,933.022,246.636,225.56,626.593,232.228,187.329,489.177,255.502,155.596,338.646
21,0,-48.3166,252.02,921.106,175.819,277.532,921.235,37.7898,87.8291,952.761,120.526,95.9535,949.597,,,,,,,,,,,,,,,,,,,,,,,,,-86.403,177.003,912.528,-105.532,177.018,635.333,-87.33,146.486,482.992,-108.942,103.279,325.437,226.801,217.496,933.033,246.634,225.532,626.593,232.187,187.36,489.228,255.498,155.583,338.652
22,0,-48.3115,252.117,921.078,175.769,277.573,921.263,37.8635,87.8874,952.874,120.446,95.9909,949.617,,,,,,,,,,,,,,,,,,,,,,,,,-86.3971,177.173,912.539,-105.561,177.115,635.343,-87.4304,146.473,483,-108.811,103.349,325.575,226.736,217.478,933.039,246.671,225.514,626.562,232.237,187.155,489.116,255.471,155.522,338.615
23,0,-48.3891,252.26,921.032,175.762,277.585,921.273,37.7,87.991,952.819,120.317,96.0008,949.634,,,,,,,,,,,,,,,,,,,,,,,,,-86.5525,177.333,912.507,-105.619,177.209,635.292,-87.4757,146.531,483.037,-108.763,103.382,325.557,226.692,217.438,933.039,246.62,225.489,626.534,232.123,187.299,489.259,255.45,155.457,338.599
24,0,-48.4449,252.361,921.018,175.748,277.609,921.266,37.5362,88.0508,952.767,120.244,96.049,949.622,,,,,,,,,,,,,,,,,,,,,,,,,-86.6046,177.44,912.412,-105.689,177.291,635.295,-87.5418,146.584,482.915,-109.005,103.385,325.383,226.612,217.458,933.117,246.665,225.494,626.53,232.237,187.123,489.153,255.428,155.475,338.664
25,0,-48.4482,252.497,921.034,175.69,277.654,921.238,37.3889,88.1804,952.778,120.121,96.062,949.649,,,,,,,,,,,,,,,,,,,,,,,,,-86.7056,177.612,912.441,-105.692,177.456,635.298,-87.5125,146.698,482.986,-108.901,103.488,325.579,226.562,217.457,933.109,246.6,225.49,626.633,232.117,187.22,489.259,255.32,155.446,338.612
26,0,-48.5097,252.656,920.967,175.678,277.665,921.24,37.3312,88.2394,952.745,120.113,96.0624,949.663,,,,,,,,,,,,,,,,,,,,,,,,,-86.7223,177.686,912.394,-105.803,177.63,635.288,-87.6552,146.728,483.014,-108.974,103.478,325.529,226.479,217.465,933.13,246.649,225.567,626.569,232.162,187.175,489.208,255.396,155.453,338.663
27,0,-48.549,252.77,920.973,175.568,277.693,921.269,37.2095,88.3548,952.766,120.001,96.1022,949.673,,,,,,,,,,,,,,,,,,,,,,,,,-86.7729,177.778,912.43,-105.711,177.827,635.432,-87.6024,146.825,483.054,-109.186,103.551,325.418,226.437,217.451,933.112,246.569,225.578,626.669,232.123,187.234,489.25,255.338,155.437,338.703
28,0,-48.5113,252.928,920.974,175.581,277.74,921.304,37.1765,88.3142,952.75,119.927,96.1526,949.665,,,,,,,,,,,,,,,,,,,,,,,,,-86.838,177.83,912.441,-105.759,177.941,635.399,-87.6818,146.916,483.107,-109.075,103.574,325.499,226.344,217.478,933.177,246.487,225.619,626.667,232.139,187.259,489.266,255.376,155.445,338.677
29,0,-48.5549,253.03,920.989,175.501,277.759,921.293,37.0988,88.3742,952.77,119.887,96.2152,949.68,,,,,,,,,,,,,,,,,,,,,,,,,-86.8838,177.899,912.425,-105.727,177.987,635.417,-87.6686,146.928,483.122,-109.228,103.609,325.458,226.343,217.469,933.157,246.41,225.707,626.678,232.14,187.334,489.293,255.411,155.515,338.767
30,0,-48.5594,253.129,920.919,175.485,277.772,921.311,37.0158,88.4743,952.788,119.813,96.2838,949.727,,,,,,,,,,,,,,,,,,,,,,,,,-86.9546,177.952,912.429,-105.81,178.049,635.412,-87.7334,146.987,483.136,-109.34,103.597,325.432,226.255,217.484,933.168,246.446,225.749,626.678,232.115,187.451,489.295,255.359,155.582,338.672
31,0,-48.6144,253.239,920.972,175.481,277.845,921.31,36.7897,88.4935,952.503,119.71,96.3164,949.688,,,,,,,,,,,,,,,,,,,,,,,,,-87.015,178.027,912.395,-105.897,178.139,635.342,-87.7698,147.038,483.177,-109.39,103.583,325.39,226.206,217.537,933.21,246.339,225.882,626.642,232.12,187.449,489.279,255.311,155.613,338.666
32,0,-48.6325,253.297,920.959,175.405,277.858,921.359,36.7008,88.5513,952.506,119.645,96.3801,949.658,,,,,,,,,,,,,,,,,,,,,,,,,-87.0037,178.052,912.398,-105.911,178.187,635.377,-89.6097,147.466,482.129,-109.274,103.669,325.488,226.15,217.581,933.24,246.332,226.027,626.715,232.074,187.622,489.403,255.278,155.649,338.714
33,0,-48.649,253.433,920.93,175.388,277.87,921.348,36.7128,88.574,952.522,119.547,96.4567,949.645,,,,,,,,,,,,,,,,,,,,,,,,,-87.0773,178.124,912.393,-105.994,178.241,635.373,-89.6021,147.492,482.15,-109.305,103.64,325.536,225.987,217.707,933.293,246.278,226.159,626.685,232.1,187.699,489.451,255.264,155.746,338.8
34,0,-48.6747,253.48,920.926,175.272,277.936,921.391,36.651,88.6316,952.494,119.487,96.5223,949.61,,,,,,,,,,,,,,,,,,,,,,,,,-87.1355,178.207,912.357,-106.055,178.312,635.384,-89.5146,147.516,482.237,-109.397,103.671,325.404,226.249,217.69,933.755,246.301,226.305,626.739,232.047,187.773,489.442,255.161,155.801,338.823
35,0,-48.7572,253.484,920.945,175.28,277.976,921.44,36.5832,88.7066,952.469,119.487,96.5541,949.593,,,,,,,,,,,,,,,,,,,,,,,,,-87.1868,178.292,912.373,-105.997,178.372,635.366,-89.5882,147.538,482.198,-109.229,103.742,325.563,225.888,217.83,933.397,246.283,226.478,626.583,232.081,187.884,489.417,255.082,155.859,338.807
36,0,-48.7771,253.621,920.885,175.228,278.052,921.371,36.525,88.7141,952.399,119.366,96.69,949.545,,,,,,,,,,,,,,,,,,,,,,,,,-87.1575,178.329,912.396,-106.085,178.428,635.255,-89.6679,147.578,482.182,-109.331,103.726,325.538,225.837,217.876,933.399,246.29,226.598,626.575,232.087,187.98,489.424,255.086,155.919,338.884
37,0,-48.7661,253.679,920.859,175.209,278.096,921.389,36.4407,88.7856,952.365,119.365,96.7269,949.559,,,,,,,,,,,,,,,,,,,,,,,,,-87.297,178.455,912.355,-106.077,178.453,635.252,-89.8093,147.588,482.088,-109.257,103.733,325.594,225.715,217.977,933.376,246.223,226.684,626.625,232.043,188.059,489.383,255.047,155.952,338.894
38,0,-48.8915,253.754,920.839,175.196,278.169,921.419,36.3171,88.8341,952.34,119.219,96.8601,949.452,,,,,,,,,,,,,,,,,,,,,,,,,-87.3157,178.503,912.314,-106.072,178.479,635.25,-87.9983,147.254,483.12,-109.247,103.716,325.673,225.696,218.03,933.414,246.222,226.769,626.636,232.018,188.099,489.381,255.05,155.967,338.938
39,0,-48.9096,253.779,920.844,175.149,278.223,921.359,36.1976,88.893,952.274,119.17,96.9361,949.493,,,,,,,,,,,,,,,,,,,,,,,,,-87.3863,178.608,912.253,-106.19,178.497,635.275,-90.2268,147.611,481.804,-109.265,103.725,325.599,225.622,218.13,933.4,246.158,226.818,626.642,232.038,188.177,489.449,255.075,156.007,338.969
40,0,-48.9991,253.849,920.834,175.137,278.304,921.375,36.1319,88.9863,952.267,119.106,97.0088,949.47,,,,,,,,,,,,,,,,,,,,,,,,,-87.4952,178.753,912.289,-106.151,178.557,635.184,-89.6003,147.557,482.209,-109.265,103.701,325.66,225.509,218.184,933.42,246.141,226.836,626.67,231.944,188.263,489.445,255.018,155.984,338.952
41,0,-49.0671,253.913,920.852,175.13,278.345,921.389,36.0081,89.0887,952.215,119.045,97.1033,949.443,,,,,,,,,,,,,,,,,,,,,,,,,-87.495,178.808,912.269,-106.262,178.574,635.232,-89.6087,147.569,482.216,-109.306,103.763,325.641,225.448,218.267,933.424,246.098,226.868,626.659,231.912,188.272,489.424,254.943,156.02,338.904
42,0,-49.1288,253.989,920.861,175.094,278.409,921.355,35.9154,89.1095,952.209,118.971,97.1682,949.454,,,,,,,,,,,,,,,,,,,,,,,,,-87.6161,178.977,912.342,-106.266,178.572,635.23,-89.708,147.547,482.123,-109.318,103.749,325.642,225.451,218.288,933.422,246.068,226.887,626.653,231.973,188.245,489.447,254.986,155.998,338.942
43,0,-49.0626,254.072,920.791,175.083,278.437,921.364,35.7441,89.1441,952.075,118.835,97.297,949.45,,,,,,,,,,,,,,,,,,,,,,,,,-87.7105,179.069,912.21,-106.19,178.626,635.228,-89.8611,147.607,482.071,-109.399,103.69,325.483,225.392,218.359,933.37,246.065,226.901,626.661,231.921,188.267,489.453,254.956,156.008,338.946
44,0,-49.1261,254.165,920.761,175.086,278.488,921.355,35.6026,89.1981,952.044,118.77,97.3689,949.428,,,,,,,,,,,,,,,,,,,,,,,,,-87.7726,179.173,912.267,-106.375,178.606,635.125,-90.093,147.597,481.906,-109.325,103.758,325.63,225.367,218.384,933.378,245.984,226.953,626.675,231.797,188.279,489.427,254.896,155.967,338.94
45,0,-49.1736,254.243,920.732,175.039,278.541,921.394,35.4591,89.2993,952.048,118.711,97.4252,949.488,,,,,,,,,,,,,,,,,,,,,,,,,-87.8331,179.26,912.272,-106.319,178.673,635.046,-88.0674,147.312,483.149,-109.273,103.768,325.678,225.276,218.494,933.379,245.993,226.954,626.672,231.863,188.227,489.47,254.884,155.976,338.955
46,0,-49.2491,254.306,920.701,174.992,278.598,921.365,35.4224,89.4387,952.094,118.64,97.5078,949.515,,,,,,,,,,,,,,,,,,,,,,,,,-87.9584,179.353,912.166,-106.364,178.737,635.085,-90.7081,147.634,481.585,-109.28,103.765,325.677,225.281,218.536,933.381,245.964,226.977,626.689,231.792,188.262,489.445,254.892,155.969,338.976
47,0,-49.2723,254.349,920.701,174.962,278.625,921.402,35.3472,89.5209,952.098,118.56,97.5748,949.531,,,,,,,,,,,,,,,,,,,,,,,,,-88.0765,179.443,912.114,-106.354,178.767,635.091,-89.8613,147.657,481.996,-109.366,103.737,325.665,225.254,218.588,933.414,245.972,226.986,626.703,231.82,188.25,489.558,254.894,155.976,339.004
48,0,-49.2861,254.388,920.716,174.939,278.671,921.393,35.3517,89.627,952.211,118.551,97.6731,949.617,,,,,,,,,,,,,,,,,,,,,,,,,-87.9184,179.517,912.149,-106.412,178.83,635.11,-89.7461,147.71,482.119,-109.312,103.807,325.686,225.213,218.648,933.454,245.903,227.029,626.677,231.798,188.265,489.56,254.904,155.972,339.062
49,0,-49.3225,254.482,920.654,174.891,278.735,921.354,35.3654,89.6745,952.235,118.487,97.7443,949.571,,,,,,,,,,,,,,,,,,,,,,,,,-88.1004,179.566,912.107,-106.406,178.873,635.057,-89.9621,147.724,481.855,-109.358,103.777,325.742,225.175,218.709,933.448,245.903,227.044,626.683,231.725,188.333,489.498,254.923,155.954,339.061
50,0,-49.3499,254.535,920.66,174.873,278.789,921.392,35.2714,89.7698,952.199,118.477,97.7538,949.558,,,,,,,,,,,,,,,,,,,,,,,,,-88.2394,179.633,912.051,-106.453,178.929,635.095,-90.5002,147.741,481.451,-109.328,103.863,325.769,225.163,218.735,933.463,245.774,227.123,626.673,231.73,188.367,489.529,254.881,155.975,339.052
51,0,-49.3706,254.666,920.622,174.868,278.821,921.409,35.243,89.8234,952.187,118.401,97.8212,949.573,,,,,,,,,,,,,,,,,,,,,,,,,-88.2263,179.748,912.018,-106.452,178.957,635.088,-90.65,147.784,481.454,-109.389,103.876,325.713,225.097,218.822,933.47,245.758,227.148,626.678,231.637,188.429,489.458,254.832,156.009,339.047
52,0,-49.3953,254.718,920.621,174.858,278.865,921.394,35.3506,89.9365,952.333,118.349,97.8848,949.629,,,,,,,,,,,,,,,,,,,,,,,,,-88.2133,179.771,912.061,-106.448,178.981,635.082,-90.8155,147.833,481.2,-109.393,103.885,325.814,225.073,218.859,933.472,245.794,227.207,626.736,231.65,188.458,489.479,254.839,156.043,339.118
53,0,-49.4143,254.786,920.626,174.813,278.946,921.346,35.3294,90.0049,952.3,118.284,97.9462,949.607,,,,,,,,,,,,,,,,,,,,,,,,,-88.1919,179.841,912.109,-106.515,179.057,635.043,-88.3892,147.774,483.133,-109.376,103.915,325.78,225.01,218.946,933.418,245.804,227.219,626.746,231.622,188.526,489.545,254.773,156.096,339.098
54,0,-49.4734,254.882,920.592,174.743,279.025,921.367,35.6776,90.2532,952.614,118.31,97.9908,949.647,,,,,,,,,,,,,,,,,,,,,,,,,-88.4302,179.938,911.917,-106.512,179.072,635.042,-88.4637,147.87,483.07,-109.377,103.917,325.78,224.972,219.017,933.415,245.743,227.267,626.714,231.589,188.569,489.526,254.806,156.149,339.121
55,0,-49.4792,254.959,920.564,174.725,279.085,921.344,35.38,90.2217,952.389,118.262,98.0631,949.591,,,,,,,,,,,,,,,,,,,,,,,,,-88.4327,179.971,911.903,-106.505,179.087,635.046,-88.4688,147.871,483.065,-109.413,103.992,325.773,224.953,219.087,933.399,245.757,227.271,626.735,231.558,188.596,489.504,254.773,156.124,339.114
