Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ejemplo2D:md1,,,Ejemplo2D:md2,,,Ejemplo2D:md3,,,Ejemplo2D:md4,,,Ejemplo2D:pd1,,,Ejemplo2D:pd2,,,Ejemplo2D:pd3,,,Ejemplo2D:pd4,,
Time,Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
0,1,0,24.879,864.024,0,-39.238,864.215,0,25.049,742.916,0,-39.471,742.615,0,21.08788108,415.9166237,0,-42.99323113,418.0700462,0,17.55089218,294.8601647,0,-46.94809048,296.5341529
0.04,2,0,31.18183627,866.4141208,0,-32.85232976,863.1504188,0,37.87651179,745.4911789,0,-26.53356149,741.7144791,0,43.46850139,416.7302564,0,-20.58398511,419.6121209,0,38.55536885,295.7218365,0,-25.92041211,298.1290487
0.08,3,0,37.34674593,869.1403474,0,-26.41857784,862.4314239,0,50.54665009,748.753724,0,-13.56639623,741.5122951,0,65.75029975,418.8403936,0,1.734719258,422.4503276,0,59.46165869,297.895656,0,-4.982585544,301.0357811
0.12,4,0,43.35582098,872.1947605,0,-19.95543319,862.0601038,0,63.02261031,752.6941581,0,-0.607171622,742.0090352,0,87.86461424,422.2400777,0,23.89421528,426.5776146,0,80.20127762,301.3746573,0,15.79690105,305.2472895
0.16,5,0,49.19160608,875.5684876,0,-13.48167012,862.0375371,0,75.26815193,757.3010351,0,12.306468,743.2032566,0,109.7432603,426.91865,0,45.82631256,431.983229,0,100.7062188,306.1481716,0,36.35003567,310.7528101
0.2,6,0,54.83714927,879.2517287,0,-7.016093821,862.3637895,0,87.24770375,762.5609727,0,25.13701074,745.0914903,0,131.3187293,432.8617817,0,67.46349554,438.6527481,0,120.9091511,312.2018577,0,56.60948103,317.5379073
0.24,7,0,60.27605123,883.2337844,0,-0.577485679,863.0379131,0,98.9264672,768.4586917,0,37.84718605,747.6682512,0,152.5243851,440.0515158,0,88.73912017,446.5681209,0,140.743616,319.5177444,0,76.50877117,325.5845152
0.28,8,0,65.49251286,887.5030877,0,5.815451249,864.0579499,0,110.2705175,774.9770602,0,50.40007305,750.9260543,0,173.2946583,448.466319,0,109.5876079,455.7077206,0,160.1442212,328.0742821,0,95.98250549,334.8709899
0.32,9,0,70.47138124,892.0472369,0,12.14414658,865.4209366,0,121.2469021,782.0971435,0,62.75920776,754.8554363,0,193.565237,458.081145,0,129.9446368,466.0464067,0,179.0468319,337.8464059,0,114.9665397,345.3721721
0.36,10,0,75.19819362,896.8530321,0,18.39021653,867.1229142,0,131.8237365,789.7982589,0,74.88868901,759.4449828,0,213.2732542,468.8675064,0,149.7473286,477.5555987,0,197.3887579,348.8056084,0,133.3981732,357.0594601
0.4,11,0,79.6592194,901.9065132,0,24.53551734,869.1589386,0,141.9702968,798.0580361,0,86.75328272,764.6813623,0,232.3574711,480.7935584,0,168.9344324,490.203358,0,215.1089371,360.9200224,0,151.2163321,369.9008925
0.44,12,0,83.84150008,907.1930007,0,30.56219796,871.5230956,0,151.657109,806.8524818,0,98.31852429,770.5493637,0,250.7584552,493.8241908,0,187.4465023,503.9544814,0,232.1481132,374.1545132,0,168.3617476,383.8612408
0.48,13,0,87.73288685,912.6971384,0,36.45275192,874.2085176,0,160.8560345,816.1560496,0,109.5508187,777.0319416,0,268.4187537,507.9211303,0,205.2260711,518.7706023,0,248.4490096,388.4707812,0,184.7771292,398.9021116
0.52,14,0,91.32207588,918.4029376,0,42.19006817,877.207404,0,169.5403521,825.9417142,0,120.417538,784.1102652,0,285.2830608,523.0430517,0,222.2178178,534.6103025,0,263.9564962,403.827473,0,200.4073322,414.9820575
0.56,15,0,94.59864121,924.293824,0,47.75748078,880.5110436,0,177.6848353,836.1810501,0,130.8871162,791.7637732,0,301.298379,539.145698,0,238.3687282,551.4292323,0,278.6177508,420.1803011,0,215.1995184,432.0566977
0.6,16,0,97.55306497,930.3526855,0,53.13881737,884.1098398,0,185.2658257,846.8443136,0,140.9291411,799.9702334,0,316.4141734,556.1820089,0,253.6282499,569.1802387,0,292.3824136,437.4821728,0,229.1033111,450.0788464
0.64,17,0,100.1767651,936.5619222,0,58.31844609,887.9933387,0,192.2613019,857.9005299,0,150.5144422,808.7058076,0,330.5825191,574.1022576,0,267.9484395,587.8135027,0,305.2027344,455.6833272,0,242.0709421,468.9986492
0.68,18,0,102.4621201,942.9034973,0,63.28132099,892.1502594,0,198.6509433,869.3175824,0,159.6151759,817.9451202,0,343.7582408,592.8541955,0,281.284102,607.2766832,0,317.0337121,474.7314791,0,254.0573913,488.7637282
0.72,19,0,104.4024915,949.3589896,0,68.01302578,896.5685269,0,204.4161889,881.0623067,0,168.2049062,827.6613328,0,355.8990449,612.3832034,0,293.5929232,627.5150694,0,327.833227,494.5719712,0,265.0205188,509.3193334
0.76,20,0,105.9922428,955.9096471,0,72.49981566,901.2353067,0,209.5402918,893.1005862,0,176.2586813,837.8262214,0,366.9656424,632.6324509,0,304.8355923,648.471739,0,337.5621635,515.1479328,0,274.921188,530.6085017
0.8,21,0,107.2267561,962.5364411,0,76.72865728,906.1370427,0,214.0083673,905.3974519,0,183.7531063,848.4102587,0,376.9218639,653.543061,0,314.9759172,670.0877236,0,346.184525,536.4004446,0,283.7233801,552.5722216
0.84,22,0,108.1024453,969.2201221,0,80.68726657,911.2594962,0,217.8074364,917.9171835,0,190.6664114,859.3827,0,385.734765,675.0542814,0,323.9809298,692.3021797,0,353.6675398,558.2687102,0,291.3943,575.1496047
0.88,23,0,108.6167667,975.9412749,0,84.36414446,916.5877874,0,220.9264635,930.6234133,0,196.9785145,870.711672,0,393.3747228,697.1036607,0,331.8209821,715.0525651,0,359.9817567,580.6902321,0,297.9044722,598.2780617
0.92,24,0,108.7682263,982.6803759,0,87.74861024,922.1064384,0,223.3563883,943.4792318,0,202.6710799,882.3642662,0,399.8155221,719.6272303,0,338.4698331,738.2748204,0,365.1011318,603.6009933,0,303.2278276,621.8934845
0.96,25,0,108.5563841,989.4178492,0,90.83083261,927.7994185,0,225.0901523,956.4472952,0,207.7275719,894.3066338,0,405.0344321,742.5596895,0,343.9047253,761.9035547,0,369.0031053,626.9356433,0,307.3417801,645.9304314
1,26,0,107.9818555,996.1341234,0,93.60185826,933.6501906,0,226.1227193,969.4899334,0,212.1333021,906.5040841,0,409.0122733,765.8345958,0,348.1064511,785.8722354,0,371.6686679,650.6276876,0,310.2272928,670.3223169
1.04,27,0,107.0463093,1002.809689,0,96.05363782,939.6417592,0,226.4510898,982.5692597,0,215.8754727,918.9211857,0,411.7334734,789.3845576,0,351.0594094,810.1133813,0,373.082417,674.6096805,0,311.8689347,695.0016052
1.08,28,0,105.7524633,1009.425155,0,98.1790493,945.7567199,0,226.0743099,995.647281,0,218.9432133,931.5218691,0,413.1861132,813.1414299,0,352.7516509,834.558758,0,373.2326023,698.8134214,0,312.2549262,719.9000052
1.12,29,0,104.1040757,1015.961303,0,99.97191873,951.9773096,0,224.9934741,1008.686008,0,221.3276126,944.2695313,0,413.3619616,837.0365124,0,353.1749137,859.1395762,0,372.1111613,723.170152,0,311.3771741,744.9486691
1.16,30,0,102.1059349,1022.399149,0,101.4270381,958.2854587,0,223.2117221,1021.647565,0,223.0217444,957.1271427,0,412.2565005,861.0007489,0,352.3246474,883.7866909,0,369.7137432,747.6107565,0,309.2312963,770.0783914
